id,text,label,category
5f9a94f7-950e-488e-a7f4-d3ffbb88a473,Security Alert: Someone is trying to access your account. Provide OTP 943191 to stop it.,scam,otp_identity
373a2f35-7780-4da3-820e-ca473e502805,Don’t forget: birthday party at 7 PM tonight. Are you coming?,not_scam,casual_normal
05a50f9f-f463-41f6-b591-c9951ba40740,Your HDFC account statement for July is ready to download from the official app.,not_scam,banking_notifications
4b1f4193-3117-4ac6-af95-0b39359c5177,Can you send me the notes for Data Structures class?,not_scam,casual_normal
35e46539-c322-4ab8-b2b6-ee48b3825a97,Delivery update: Your Myntra parcel is out for delivery and will reach today.,not_scam,e_commerce
0b1010ab-c9f8-46d1-b6ef-554af3d6379b,"Hey, are we meeting at 18:15 today?",not_scam,casual_normal
dda0a25a-521f-42ca-afc4-7fe6839d864e,Offer: Google internship guaranteed. Complete payment of ₹499 to reserve your seat.,scam,job_internship
4a7700a0-4419-4fdb-8037-3d41005b8883,Congratulations! Zoho selected you for a work-from-home job. Pay registration fee ₹999 to confirm.,scam,job_internship
a47ee66f-f96d-4898-96f8-a86979426e74,Claim your reward of ₹999 from Flipkart. Click http://verify-example-805.example to verify.,scam,lottery_reward
e0e327ca-69bf-4c2a-9137-689d3248a3e3,Return request for your t-shirt has been approved. Refund will be processed in 3–5 days.,not_scam,e_commerce
a32bbc0c-e6d5-4735-bbab-301dbe8b81d7,Return request for your headphones has been approved. Refund will be processed in 3–5 days.,not_scam,e_commerce
5b12ef69-dc8f-4464-b501-c5a66e7a854f,Verify your account with this OTP: 662925. Do not share with anyone.,scam,otp_identity
e5cd59ae-75a5-4c50-b525-d21dc0e82120,₹250 credited to your SBI wallet. Available balance updated.,not_scam,banking_notifications
04d65b39-56d9-4a3a-87f4-b80552eea532,TCS Recruiter: Thank you for applying for Software Intern. Next steps will be shared via email.,not_scam,job_internship
3a929410-7399-4d8c-9382-8f7b2a6bb239,Urgent hiring! Remote role at Zoho. Pay ₹500 and start immediately.,scam,job_internship
e312bd1b-4e3e-40d5-a2e1-d8bc9170fad2,Offer: Google internship guaranteed. Complete payment of ₹2000 to reserve your seat.,scam,job_internship
c2fd924d-3165-4f2d-ba30-427ed057533b,Your Amazon order #157787 has been shipped. Track it via the Amazon app.,not_scam,e_commerce
79da8af7-65e8-4044-b074-a5dc33a82464,Crypto CEO special offer: Double your Bitcoin instantly! Limited time.,scam,crypto_investment
d96d6aac-35f0-4f74-9112-5ed3cc9a7607,Don’t forget: birthday party at 7 PM tonight. Are you coming?,not_scam,casual_normal
1d0efdc7-aae3-4ecc-ac35-10a34294f870,Congratulations! Your number has been selected for a free iPhone 15. Pay delivery charge ₹199.,scam,lottery_reward
52eb1f08-26f9-4129-8db8-c7679c2aaca3,"Hey, are we meeting at 15:15 today?",not_scam,casual_normal
06a01eeb-fd94-48b9-9b73-43ddea2eb5f8,Infosys Recruiter: Thank you for applying for Research Intern. Next steps will be shared via email.,not_scam,job_internship
00030395-3889-43a1-b182-3f8282e6e10a,You have been shortlisted for an internship at Infosys. Send Aadhaar and ₹500 processing fee.,scam,job_internship
c04f0c82-e600-4acd-a3da-4ebcb5e3a688,Your Amazon payment of ₹5000 was successful. Thank you for shopping with us.,not_scam,e_commerce
f437f65c-cada-40ef-9b8f-555a26b5da8c,Your coding challenge link for Zoho has been shared. Complete it by 1 days.,not_scam,job_internship
17587003-9fff-4971-8cd8-347521bf1de9,Interview scheduled for 26 March at 12:45. Please bring your resume and ID proof.,not_scam,job_internship
6a6bfa3b-9f83-4d59-af71-4ff5da69f37e,Limited offer: Put ₹9999 into our crypto plan and get 50000 back in 7 days.,scam,crypto_investment
4a6731ca-42a7-4f98-b528-814ec54ca423,Prize Winner: You have been selected for MacBook Air. Provide bank details to receive ₹9999.,scam,lottery_reward
a35e56e7-323b-4759-8181-4524808d02f3,Claim your reward of ₹500000 from PhonePe. Click http://verify-example-876.example to verify.,scam,lottery_reward
a4ef72ec-38dc-41f8-9fa7-ac2faab51558,Unusual activity detected on your State Bank of India card. Your card is suspended. Update details now.,scam,banking_payment
a19b1867-83be-4a95-9c9c-8469986556c4,Claim your reward of ₹1999 from Flipkart. Click http://verify-example-1180.example to verify.,scam,lottery_reward
f4c2ad2c-8581-4c40-aaed-a4d9b7d91c3c,Urgent hiring! Remote role at Flipkart. Pay ₹999 and start immediately.,scam,job_internship
f8323467-03e7-43c1-8c54-8b0e3b74ffd2,Your HDFC account statement for October is ready to download from the official app.,not_scam,banking_notifications
3f19d773-a346-434d-a13b-26d1aa440213,Urgent hiring! Remote role at Amazon. Pay ₹199 and start immediately.,scam,job_internship
50115551-a780-40bd-b3de-715d7152be57,Security Alert: Someone is trying to access your account. Provide OTP 276075 to stop it.,scam,otp_identity
d66c08b7-235c-47f6-a77f-b9f52f742d66,Your phone number will be suspended unless you verify now. Share your OTP: 210454,scam,otp_identity
04b132cc-3a57-4478-a579-87ced61e8787,Your Myntra order #258385 has been shipped. Track it via the Myntra app.,not_scam,e_commerce
b6591235-863e-451f-82d9-5a2c83a6f8c1,Your State Bank of India cheque book request has been processed. It will be delivered in 5 working days.,not_scam,banking_notifications
f5046c5c-7f90-4a28-a50e-da65980e502c,Urgent hiring! Remote role at Infosys. Pay ₹299 and start immediately.,scam,job_internship
ff8487d5-bb34-47c1-ae32-455a0f6e0a20,Your phone number will be suspended unless you verify now. Share your OTP: 308356,scam,otp_identity
87b97a58-236f-4b31-bafe-633efe940ffd,Crypto CEO special offer: Double your Bitcoin instantly! Limited time.,scam,crypto_investment
90234565-379c-4a66-b0b8-df0ef424f7e7,Reminder: Your college assignment is due tomorrow.,not_scam,casual_normal
5d0001d8-d388-482e-8514-0c9e351df3bd,You have been shortlisted for an internship at TCS. Send Aadhaar and ₹299 processing fee.,scam,job_internship
b7a78b68-bc9d-44c8-8757-1e98a61b778a,Important: Your PAN card will be disabled. Send OTP to update your account.,scam,otp_identity
fdb9af0e-7947-4f13-86e1-e5ff8b787304,Prize Winner: You have been selected for MacBook Air. Provide bank details to receive ₹50000.,scam,lottery_reward
5d474e50-cd21-454f-a44a-09369aeb25b5,Limited offer: Put ₹500000 into our crypto plan and get 50000 back in 30 days.,scam,crypto_investment
115f37b8-5a62-4e2c-9838-1ff7702c762f,Important: Your PAN card will be disabled. Send OTP to update your account.,scam,otp_identity
b472c73f-1609-41cc-b3c0-1370074a58ed,Flipkart Recruiter: Thank you for applying for Software Intern. Next steps will be shared via email.,not_scam,job_internship
